feat,imp
ratio_click_of_advert_industry_inner_in_creative_width,12
ratio_click_of_orderid_in_province,12
ratio_click_of_os_in_app_id,12
ratio_click_of_carrier_in_campaign_id,12
ratio_click_of_advert_name_in_province,12
ratio_click_of_app_cate_id_in_creative_width,12
ratio_click_of_carrier_in_advert_name,12
ratio_click_of_hour,12
ratio_click_of_creative_type_in_carrier,12
ratio_click_of_hour_in_os,12
ratio_click_of_campaign_id_in_make,12
ratio_click_of_app_id_in_adid,12
ratio_click_of_app_id_in_nnt,12
ratio_click_of_city_in_hour,12
ratio_click_of_city_in_carrier,11
ratio_click_of_os_in_advert_id,11
ratio_click_of_make_in_creative_width,11
ratio_click_of_province_in_os,11
ratio_click_of_adid_in_hour,11
ratio_click_of_app_id_in_creative_type,11
ratio_click_of_creative_width_in_app_cate_id,11
ratio_click_of_campaign_id_in_osv,11
ratio_click_of_campaign_id_in_advert_name,11
advert_industry_inner,11
ratio_click_of_nnt_in_app_cate_id,11
f_channel,11
ratio_click_of_osv_in_creative_height,11
nnt,11
ratio_click_of_osv_in_advert_name,10
ratio_click_of_app_id_in_campaign_id,10
ratio_click_of_inner_slot_id_in_nnt,10
ratio_click_of_make_in_nnt,10
ratio_click_of_make_in_advert_name,10
ratio_click_of_adid_in_f_channel,10
ratio_click_of_app_id_in_devtype,10
ratio_click_of_make_in_carrier,10
ratio_click_of_osv_in_creative_width,10
ratio_click_of_province_in_creative_type,10
ratio_click_of_creative_has_deeplink_in_city,10
ratio_click_of_creative_width_in_advert_id,10
ratio_click_of_creative_height_in_nnt,10
ratio_click_of_creative_width_in_campaign_id,10
ratio_click_of_creative_tp_dnf_in_nnt,10
ratio_click_of_city_in_osv,10
ratio_click_of_orderid_in_hour,9
ratio_click_of_carrier_in_advert_industry_inner,9
ratio_click_of_adid_in_advert_industry_inner,9
ratio_click_of_orderid_in_advert_industry_inner,9
ratio_click_of_inner_slot_id_in_campaign_id,9
ratio_click_of_city_in_creative_id,9
ratio_click_of_make_in_os,9
ratio_click_of_creative_height_in_orderid,9
ratio_click_of_adid_in_campaign_id,9
ratio_click_of_app_cate_id_in_creative_type,9
ratio_click_of_inner_slot_id_in_creative_type,9
ratio_click_of_orderid_in_carrier,9
ratio_click_of_model_in_carrier,9
ratio_click_of_os_name_in_province,9
ratio_click_of_nnt_in_carrier,9
ratio_click_of_campaign_id_in_hour,8
ratio_click_of_orderid_in_creative_tp_dnf,8
ratio_click_of_advert_name_in_advert_industry_inner,8
ratio_click_of_osv,8
ratio_click_of_orderid_in_nnt,8
ratio_click_of_model_in_creative_tp_dnf,8
ratio_click_of_advert_id_in_creative_tp_dnf,8
ratio_click_of_devtype_in_adid,8
ratio_click_of_os_name_in_adid,8
ratio_click_of_creative_type_in_advert_name,8
ratio_click_of_adid_in_advert_id,8
ratio_click_of_province,8
ratio_click_of_adid_in_advert_name,8
ratio_click_of_adid_in_creative_width,8
ratio_click_of_creative_tp_dnf_in_carrier,8
ratio_click_of_province_in_advert_name,7
ratio_click_of_osv_in_os_name,7
ratio_click_of_app_cate_id_in_devtype,7
ratio_click_of_advert_id_in_os,7
ratio_click_of_creative_height_in_advert_industry_inner,7
ratio_click_of_inner_slot_id_in_os,7
ratio_click_of_f_channel_in_hour,7
ratio_click_of_advert_name_in_hour,7
ratio_click_of_inner_slot_id_in_advert_id,7
ratio_click_of_advert_industry_inner_in_creative_height,7
ratio_click_of_os_name_in_f_channel,7
ratio_click_of_creative_width_in_nnt,7
ratio_click_of_carrier_in_nnt,7
ratio_click_of_app_id_in_creative_tp_dnf,7
ratio_click_of_city_in_creative_tp_dnf,7
ratio_click_of_creative_id_in_carrier,7
ratio_click_of_app_id_in_carrier,7
ratio_click_of_advert_industry_inner_in_nnt,7
ratio_click_of_inner_slot_id_in_carrier,7
ratio_click_of_creative_is_download_in_creative_tp_dnf,7
ratio_click_of_model_in_os,7
ratio_click_of_creative_type_in_advert_industry_inner,7
ratio_click_of_province_in_os_name,6
ratio_click_of_creative_width_in_inner_slot_id,6
ratio_click_of_creative_id_in_creative_width,6
ratio_click_of_devtype_in_app_id,6
ratio_click_of_hour_in_creative_width,6
ratio_click_of_creative_id_in_creative_type,6
ratio_click_of_os_name_in_app_id,6
ratio_click_of_nnt_in_advert_name,6
ratio_click_of_app_id_in_advert_name,6
ratio_click_of_creative_width_in_advert_name,6
ratio_click_of_advert_id_in_creative_width,6
ratio_click_of_adid_in_creative_tp_dnf,6
ratio_click_of_hour_in_devtype,6
ratio_click_of_f_channel_in_nnt,6
ratio_click_of_osv_in_devtype,6
ratio_click_of_creative_tp_dnf_in_orderid,6
ratio_click_of_province_in_creative_width,6
ratio_click_of_campaign_id_in_advert_industry_inner,6
ratio_click_of_advert_name_in_osv,6
ratio_click_of_city_in_creative_type,5
ratio_click_of_make_in_creative_type,5
ratio_click_of_app_cate_id_in_os,5
ratio_click_of_devtype_in_orderid,5
ratio_click_of_orderid_in_creative_height,5
ratio_click_of_orderid_in_advert_name,5
ratio_click_of_creative_is_download_in_advert_name,5
ratio_click_of_os_in_creative_tp_dnf,5
ratio_click_of_creative_has_deeplink_in_model,5
ratio_click_of_model_in_city,5
ratio_click_of_orderid_in_creative_width,5
ratio_click_of_adid_in_os,5
ratio_click_of_creative_tp_dnf_in_os,5
ratio_click_of_nnt_in_creative_width,5
ratio_click_of_city_in_os,5
ratio_click_of_creative_tp_dnf_in_advert_industry_inner,5
ratio_click_of_inner_slot_id_in_advert_industry_inner,5
ratio_click_of_app_id_in_os,5
ratio_click_of_advert_name_in_creative_width,4
ratio_click_of_creative_id_in_creative_height,4
ratio_click_of_campaign_id_in_f_channel,4
ratio_click_of_os_name_in_app_cate_id,4
ratio_click_of_creative_type_in_os,4
ratio_click_of_os_name_in_creative_id,4
ratio_click_of_os_name_in_hour,4
ratio_click_of_os_name_in_orderid,4
ratio_click_of_campaign_id_in_creative_tp_dnf,4
ratio_click_of_inner_slot_id_in_advert_name,4
ratio_click_of_hour_in_creative_is_download,4
ratio_click_of_app_id_in_creative_is_download,4
ratio_click_of_advert_name_in_creative_tp_dnf,4
ratio_click_of_campaign_id_in_creative_id,4
ratio_click_of_adid_in_creative_type,4
ratio_click_of_app_cate_id_in_creative_is_download,4
ratio_click_of_city_in_campaign_id,4
ratio_click_of_creative_type_in_creative_has_deeplink,4
ratio_click_of_model_in_creative_width,4
ratio_click_of_creative_tp_dnf_in_creative_height,4
ratio_click_of_city_in_creative_width,4
ratio_click_of_make_in_campaign_id,4
ratio_click_of_creative_tp_dnf_in_advert_name,3
ratio_click_of_advert_industry_inner_in_carrier,3
ratio_click_of_creative_width_in_orderid,3
ratio_click_of_creative_has_deeplink_in_osv,3
ratio_click_of_f_channel_in_carrier,3
ratio_click_of_os_in_carrier,3
ratio_click_of_advert_id_in_carrier,3
ratio_click_of_os_in_osv,3
ratio_click_of_creative_id_in_os,3
ratio_click_of_orderid_in_os,3
ratio_click_of_orderid_in_creative_is_download,3
ratio_click_of_creative_is_download_in_creative_width,3
ratio_click_of_model_in_nnt,3
ratio_click_of_city_in_advert_id,3
ratio_click_of_app_cate_id,3
ratio_click_of_carrier_in_creative_height,3
ratio_click_of_advert_industry_inner_in_devtype,3
ratio_click_of_f_channel_in_advert_id,3
ratio_click_of_orderid_in_f_channel,3
ratio_click_of_city_in_f_channel,3
ratio_click_of_city_in_creative_height,3
ratio_click_of_creative_type_in_f_channel,3
ratio_click_of_nnt_in_creative_height,3
ratio_click_of_os_in_nnt,3
ratio_click_of_carrier_in_creative_tp_dnf,3
ratio_click_of_carrier_in_creative_type,3
ratio_click_of_advert_name_in_creative_type,3
ratio_click_of_advert_name_in_creative_is_download,3
ratio_click_of_campaign_id_in_carrier,2
ratio_click_of_creative_id_in_devtype,2
ratio_click_of_os_in_model,2
ratio_click_of_adid_in_creative_height,2
ratio_click_of_campaign_id_in_devtype,2
ratio_click_of_advert_industry_inner_in_advert_name,2
ratio_click_of_os_in_advert_name,2
ratio_click_of_carrier_in_creative_width,2
advert_id,2
ratio_click_of_orderid_in_devtype,2
ratio_click_of_advert_id_in_advert_name,2
ratio_click_of_f_channel_in_creative_tp_dnf,2
ratio_click_of_os_name_in_make,2
ratio_click_of_creative_type_in_creative_height,2
ratio_click_of_advert_industry_inner,2
ratio_click_of_osv_in_creative_has_deeplink,2
ratio_click_of_model_in_creative_height,2
ratio_click_of_adid_in_carrier,2
ratio_click_of_creative_type,2
ratio_click_of_campaign_id_in_creative_type,2
ratio_click_of_make_in_f_channel,2
ratio_click_of_os_name_in_campaign_id,2
ratio_click_of_f_channel_in_creative_type,2
ratio_click_of_os_name_in_carrier,2
ratio_click_of_os_in_make,2
ratio_click_of_f_channel_in_advert_name,2
